Geneid,Length,Description
TRINITY_DN246630_c0_g1_i1,932,NA
TRINITY_DN183364_c0_g1_i3,932,Protein MIZU-KUSSEI 1
TRINITY_DN211879_c2_g2_i1,932,Homeobox-leucine zipper protein HOX2
TRINITY_DN184148_c0_g1_i1,932,Glutamine synthetase
TRINITY_DN195597_c0_g3_i1,932,NA
TRINITY_DN208577_c1_g3_i2,931,"L-galactono-1,4-lactone dehydrogenase 2, mitochondrial"
TRINITY_DN217350_c2_g3_i6,931,NA
TRINITY_DN194176_c0_g1_i1,931,NA
TRINITY_DN200020_c0_g1_i4,931,NA
TRINITY_DN215110_c2_g1_i2,930,Protein HYPER-SENSITIVITY-RELATED 4
TRINITY_DN206352_c0_g3_i1,929,NA
TRINITY_DN204436_c2_g1_i1,928,Cellulose synthase-like protein D1
TRINITY_DN205016_c0_g3_i1,928,ER membrane protein complex subunit 3
TRINITY_DN215294_c1_g2_i2,927,NA
TRINITY_DN200984_c0_g3_i2,927,NA
TRINITY_DN139512_c0_g1_i1,926,E3 ubiquitin-protein ligase RNF14
TRINITY_DN215484_c0_g3_i1,926,GDT1-like protein 3
TRINITY_DN187283_c0_g1_i1,926,NA
TRINITY_DN173674_c0_g2_i1,926,NA
TRINITY_DN216684_c0_g2_i1,925,NA
TRINITY_DN95959_c0_g1_i1,925,NA
TRINITY_DN299731_c0_g1_i1,925,L-threonine dehydratase biosynthetic IlvA
TRINITY_DN215408_c1_g3_i1,925,Retrovirus-related Pol polyprotein from transposon RE1
TRINITY_DN202388_c3_g3_i1,925,G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330
TRINITY_DN185528_c0_g1_i2,923,Eukaryotic translation initiation factor 4B
TRINITY_DN196780_c1_g4_i1,923,Disease resistance protein RPM1
TRINITY_DN214063_c0_g2_i2,923,"1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1"
TRINITY_DN206388_c0_g2_i4,922,Meiotic recombination protein DMC1 homolog
TRINITY_DN202377_c1_g1_i2,922,NA
TRINITY_DN189582_c0_g1_i3,922,NA
TRINITY_DN186596_c0_g1_i1,922,NA
TRINITY_DN204630_c3_g1_i1,921,NA
TRINITY_DN206337_c0_g1_i1,921,NA
TRINITY_DN207944_c1_g1_i1,921,NA
TRINITY_DN198434_c0_g2_i2,920,NA
TRINITY_DN202057_c3_g2_i2,920,NA
TRINITY_DN146640_c0_g1_i1,920,E3 ubiquitin-protein ligase RNF144B
TRINITY_DN311470_c0_g1_i1,919,NA
TRINITY_DN246818_c0_g1_i1,918,Oxysterol-binding protein-related protein 1
TRINITY_DN204076_c0_g1_i5,917,NA
TRINITY_DN218072_c0_g1_i3,917,NA
TRINITY_DN221900_c0_g1_i1,916,Mitochondrial antiviral-signaling protein
TRINITY_DN180376_c0_g3_i1,916,Uncharacterized HTH-type transcriptional regulator YieP
TRINITY_DN207159_c2_g1_i2,915,NA
TRINITY_DN218208_c2_g1_i3,915,NA
TRINITY_DN201708_c0_g1_i1,915,NA
TRINITY_DN152773_c0_g1_i1,914,NA
TRINITY_DN204306_c3_g1_i1,914,NA
TRINITY_DN68483_c0_g1_i2,914,Obtusifoliol 14-alpha demethylase
TRINITY_DN199374_c1_g6_i1,914,NA
TRINITY_DN170409_c0_g1_i1,913,NA
TRINITY_DN202618_c1_g2_i1,912,NA
TRINITY_DN193518_c1_g3_i2,911,NA
TRINITY_DN194519_c0_g1_i1,911,NA
TRINITY_DN197305_c0_g1_i1,910,NA
TRINITY_DN187772_c0_g1_i2,910,NA
TRINITY_DN209157_c0_g4_i1,910,Cytochrome P450 76C1
TRINITY_DN198918_c0_g1_i1,909,NA
TRINITY_DN203008_c0_g1_i1,908,Regulator of nonsense transcripts UPF2
TRINITY_DN211719_c0_g1_i4,908,NA
TRINITY_DN193818_c0_g2_i1,908,NA
TRINITY_DN202735_c1_g1_i2,908,NA
TRINITY_DN132177_c0_g1_i1,908,NA
TRINITY_DN174701_c0_g1_i1,907,NA
TRINITY_DN210879_c0_g1_i1,907,NA
TRINITY_DN156800_c0_g1_i1,907,Probable E3 ubiquitin-protein ligase ARI7
TRINITY_DN207683_c0_g3_i3,907,40S ribosomal protein S9-2
TRINITY_DN180608_c0_g1_i1,907,Chondroitin sulfate proteoglycan 4
TRINITY_DN199568_c0_g3_i2,906,NA
TRINITY_DN198353_c0_g2_i2,906,NA
TRINITY_DN127677_c0_g1_i1,905,NA
TRINITY_DN216838_c0_g1_i3,905,"Alpha-glucan water dikinase, chloroplastic"
TRINITY_DN202198_c0_g1_i2,905,NA
TRINITY_DN218234_c3_g1_i2,905,NA
TRINITY_DN214479_c3_g1_i5,904,NA
TRINITY_DN211069_c0_g4_i1,903,NA
TRINITY_DN211704_c1_g2_i2,903,"Probable tocopherol O-methyltransferase, chloroplastic"
TRINITY_DN211336_c0_g4_i1,903,NA
TRINITY_DN216744_c2_g3_i1,902,NA
TRINITY_DN195506_c0_g1_i1,902,KH domain-containing protein SPIN1
TRINITY_DN125959_c0_g1_i1,902,NA
TRINITY_DN207230_c0_g2_i3,902,NA
TRINITY_DN183305_c0_g1_i1,901,60S ribosomal protein L4-B
TRINITY_DN164377_c0_g1_i1,901,High-affinity branched-chain amino acid transport system permease protein BraD
TRINITY_DN194098_c0_g5_i6,901,NA
TRINITY_DN213825_c0_g1_i4,900,"Beta-fructofuranosidase, insoluble isoenzyme 4"
TRINITY_DN215041_c2_g1_i3,900,NA
TRINITY_DN297569_c0_g1_i1,900,Uncharacterized sugar transferase EpsL
TRINITY_DN205452_c0_g4_i1,900,NA
TRINITY_DN212918_c0_g3_i1,899,NA
TRINITY_DN212066_c1_g2_i1,899,NA
TRINITY_DN203219_c3_g2_i1,898,NA
TRINITY_DN212924_c0_g3_i1,898,"Chaperone protein ClpB3, mitochondrial"
TRINITY_DN204827_c1_g1_i1,897,NA
TRINITY_DN197339_c0_g4_i4,896,Putative cysteine-rich receptor-like protein kinase 31
TRINITY_DN199801_c0_g1_i1,896,NA
TRINITY_DN198462_c0_g1_i1,895,Dirigent protein 19
TRINITY_DN197454_c1_g1_i1,895,NA
TRINITY_DN183472_c0_g1_i2,895,Thioredoxin reductase-like selenoprotein T
TRINITY_DN214795_c1_g1_i3,895,NA
TRINITY_DN160436_c0_g2_i1,895,NA
TRINITY_DN212088_c1_g1_i4,895,NA
TRINITY_DN205098_c0_g2_i1,894,Homeobox-leucine zipper protein HOX16
TRINITY_DN171135_c0_g1_i1,894,NA
TRINITY_DN215580_c1_g1_i9,894,Repressor of RNA polymerase III transcription MAF1 homolog
TRINITY_DN204227_c0_g3_i2,894,NA
TRINITY_DN204420_c2_g1_i2,893,NA
TRINITY_DN186358_c0_g1_i1,893,NA
TRINITY_DN216271_c0_g1_i1,892,Serine/threonine-protein phosphatase PP2A-3 catalytic subunit
TRINITY_DN205327_c1_g1_i1,892,NA
TRINITY_DN201268_c3_g1_i1,892,NA
TRINITY_DN184017_c0_g1_i1,891,NA
TRINITY_DN210663_c0_g2_i1,890,NA
TRINITY_DN209482_c1_g4_i1,890,NA
TRINITY_DN228363_c0_g1_i1,889,NA
TRINITY_DN211414_c0_g1_i1,889,Peptidyl-prolyl cis-trans isomerase FKBP62
TRINITY_DN216602_c1_g3_i4,888,NA
TRINITY_DN247811_c0_g1_i1,888,Xin actin-binding repeat-containing protein 2
TRINITY_DN195193_c0_g1_i2,888,Disease resistance RPP13-like protein 4
TRINITY_DN196916_c0_g2_i1,888,Disease resistance protein RPM1
TRINITY_DN197251_c0_g1_i4,888,NA
TRINITY_DN112181_c0_g1_i1,887,NA
TRINITY_DN212271_c0_g2_i1,887,F-box protein SKIP5
TRINITY_DN213985_c1_g3_i3,886,NA
TRINITY_DN216632_c0_g1_i1,885,Zinc finger BED domain-containing protein RICESLEEPER 3
TRINITY_DN202145_c1_g1_i1,885,NA
TRINITY_DN182551_c0_g1_i1,885,NA
TRINITY_DN207675_c0_g3_i1,885,NA
TRINITY_DN206748_c3_g1_i6,885,NA
TRINITY_DN214121_c0_g4_i1,884,NA
TRINITY_DN206261_c0_g2_i1,884,NA
TRINITY_DN217125_c1_g1_i1,884,NA
TRINITY_DN185924_c0_g3_i1,884,NA
TRINITY_DN206039_c1_g1_i2,884,NA
TRINITY_DN195917_c1_g5_i1,883,NA
TRINITY_DN223708_c0_g1_i1,883,NA
TRINITY_DN195781_c7_g1_i3,882,NA
TRINITY_DN205315_c1_g1_i4,882,NA
TRINITY_DN199901_c2_g4_i2,882,NA
TRINITY_DN205764_c1_g1_i2,882,NA
TRINITY_DN198184_c2_g2_i1,881,NA
TRINITY_DN185462_c0_g1_i1,881,NA
TRINITY_DN216230_c0_g2_i2,880,NA
TRINITY_DN208936_c0_g1_i2,880,NA
TRINITY_DN192169_c0_g1_i1,880,NA
TRINITY_DN179201_c0_g1_i1,880,Putative UPF0481 protein At3g02645
TRINITY_DN210339_c2_g1_i1,879,NA
TRINITY_DN208531_c0_g2_i2,877,Transposon Tf2-11 polyprotein
TRINITY_DN210145_c0_g3_i2,877,NA
TRINITY_DN216705_c2_g1_i2,877,"(DL)-glycerol-3-phosphatase 1, mitochondrial"
TRINITY_DN211779_c2_g1_i1,877,NA
TRINITY_DN168531_c0_g2_i1,877,Penicillin-binding protein 1A
TRINITY_DN195859_c0_g1_i2,877,NA
TRINITY_DN197565_c3_g1_i2,877,Probable carboxylesterase 18
TRINITY_DN189435_c1_g5_i2,877,Growth hormone-inducible transmembrane protein
TRINITY_DN199003_c1_g3_i1,876,NA
TRINITY_DN215247_c1_g2_i2,876,NA
TRINITY_DN194057_c0_g1_i1,876,Probable methyltransferase At1g27930
TRINITY_DN210708_c0_g3_i2,876,NA
TRINITY_DN188376_c0_g1_i4,876,NA
TRINITY_DN753_c0_g1_i1,876,NA
TRINITY_DN175441_c0_g1_i2,875,Aspartyl/asparaginyl beta-hydroxylase
TRINITY_DN194946_c1_g2_i3,875,Pyrophosphate-energized vacuolar membrane proton pump
TRINITY_DN218278_c2_g1_i1,875,NA
TRINITY_DN188760_c0_g1_i1,874,NA
TRINITY_DN193795_c3_g1_i2,873,Cysteine-rich receptor-like protein kinase 29
TRINITY_DN205017_c0_g1_i1,873,NA
TRINITY_DN193072_c7_g1_i1,873,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN208395_c0_g4_i1,873,NA
TRINITY_DN206630_c0_g2_i2,873,NA
TRINITY_DN199766_c0_g2_i2,872,E3 ubiquitin-protein ligase At1g12760
TRINITY_DN193099_c0_g1_i2,872,NA
TRINITY_DN214806_c1_g4_i1,872,NA
TRINITY_DN196746_c0_g1_i3,872,NA
TRINITY_DN194016_c1_g1_i1,871,NA
TRINITY_DN188192_c0_g1_i1,871,NA
TRINITY_DN191060_c0_g1_i1,871,NA
TRINITY_DN68606_c0_g1_i1,870,Peroxisomal catalase
TRINITY_DN217060_c1_g1_i6,870,NA
TRINITY_DN199095_c1_g1_i3,870,CASP-like protein 4B4
TRINITY_DN248906_c0_g1_i1,870,NA
TRINITY_DN185807_c0_g2_i3,869,NADH-ubiquinone oxidoreductase chain 1
TRINITY_DN183787_c0_g2_i1,869,Thioredoxin reductase
TRINITY_DN193725_c2_g4_i1,869,Peroxidase 35
TRINITY_DN207380_c0_g2_i1,869,NA
TRINITY_DN211120_c0_g2_i2,869,BTB/POZ and MATH domain-containing protein 2
TRINITY_DN214115_c0_g1_i1,869,Protein translation factor SUI1 homolog
TRINITY_DN216875_c1_g4_i1,868,"Pentatricopeptide repeat-containing protein At1g11290, chloroplastic"
TRINITY_DN183868_c0_g2_i1,867,Trk system potassium uptake protein TrkA
TRINITY_DN144762_c0_g1_i1,867,NA
TRINITY_DN114688_c0_g1_i1,867,Starch-binding protein SusD
TRINITY_DN196857_c0_g3_i1,867,NA
TRINITY_DN216982_c1_g1_i2,867,NA
TRINITY_DN210148_c0_g1_i3,866,Polyadenylate-binding protein-interacting protein 11
TRINITY_DN212720_c0_g2_i2,866,Protein CIA1
TRINITY_DN212892_c1_g1_i1,866,NA
TRINITY_DN167872_c0_g1_i1,866,C-type lectin domain family 18 member A
TRINITY_DN210958_c0_g2_i1,865,CSC1-like protein At3g21620
TRINITY_DN199234_c1_g1_i3,865,NA
TRINITY_DN188285_c1_g1_i1,865,NA
TRINITY_DN179938_c0_g1_i1,865,Aminomethyltransferase
TRINITY_DN216283_c1_g5_i2,865,NA
TRINITY_DN219699_c0_g1_i1,865,"Asparagine--tRNA ligase, cytoplasmic"
TRINITY_DN198200_c1_g1_i1,864,NA
TRINITY_DN213470_c1_g2_i1,864,Probable receptor-like protein kinase At1g33260
TRINITY_DN182401_c0_g1_i1,864,5-formyltetrahydrofolate cyclo-ligase
TRINITY_DN199840_c0_g1_i1,864,NA
TRINITY_DN202834_c0_g2_i2,863,NA
TRINITY_DN213334_c1_g5_i1,863,30S ribosomal protein S6
TRINITY_DN213025_c0_g2_i1,863,Bifunctional nitrilase/nitrile hydratase NIT4
TRINITY_DN214540_c0_g1_i1,862,NA
TRINITY_DN200005_c0_g1_i6,862,"Probable amino-acid acetyltransferase NAGS2, chloroplastic"
TRINITY_DN206278_c0_g6_i1,862,NA
TRINITY_DN208657_c2_g2_i1,862,NA
TRINITY_DN203461_c1_g4_i1,862,NA
TRINITY_DN199312_c0_g2_i1,862,BTB/POZ domain-containing protein At5g48130
TRINITY_DN211415_c0_g4_i1,862,NA
TRINITY_DN218147_c1_g2_i3,861,Probable magnesium transporter NIPA4
TRINITY_DN215174_c2_g3_i2,861,Protein TRANSPARENT TESTA 9
TRINITY_DN137968_c0_g1_i1,861,Retrovirus-related Pol polyprotein from transposon 17.6
TRINITY_DN215616_c1_g1_i2,861,NA
TRINITY_DN190543_c4_g1_i1,861,NA
TRINITY_DN213116_c0_g2_i2,860,Peroxisomal adenine nucleotide carrier 1
TRINITY_DN214899_c0_g3_i1,860,NA
TRINITY_DN193723_c6_g1_i1,860,NA
TRINITY_DN204267_c0_g7_i1,860,NA
TRINITY_DN208436_c0_g2_i5,860,NA
TRINITY_DN208705_c4_g2_i1,860,NA
TRINITY_DN214579_c1_g4_i1,860,60S ribosomal protein L13-2
TRINITY_DN191216_c0_g1_i1,860,NA
TRINITY_DN197994_c2_g4_i1,860,NA
TRINITY_DN217353_c2_g2_i1,859,NA
TRINITY_DN208762_c0_g1_i10,859,NA
TRINITY_DN218476_c0_g1_i1,859,Protein YhgF
TRINITY_DN205250_c0_g1_i2,859,NA
TRINITY_DN204655_c0_g2_i1,858,NA
TRINITY_DN203606_c0_g6_i1,858,NA
TRINITY_DN196256_c1_g2_i1,858,ABC transporter G family member 43
TRINITY_DN218325_c2_g1_i1,858,NA
TRINITY_DN184949_c0_g1_i2,858,NA
TRINITY_DN198953_c0_g3_i2,858,NA
TRINITY_DN129484_c0_g1_i2,857,NA
TRINITY_DN208801_c0_g4_i1,857,"Nudix hydrolase 15, mitochondrial"
TRINITY_DN218077_c3_g2_i2,857,NA
TRINITY_DN205417_c1_g1_i8,857,NA
TRINITY_DN194875_c1_g1_i1,856,NA
TRINITY_DN217421_c1_g2_i4,856,NA
TRINITY_DN201222_c1_g2_i1,856,NA
TRINITY_DN212899_c0_g1_i1,856,NA
TRINITY_DN206114_c0_g1_i2,856,Beta-glucosidase 7
TRINITY_DN207667_c0_g1_i1,856,NA
TRINITY_DN136874_c0_g1_i1,856,NA
TRINITY_DN187335_c0_g1_i1,855,NA
TRINITY_DN198788_c0_g3_i1,855,NA
TRINITY_DN191937_c3_g1_i2,855,NA
TRINITY_DN217226_c5_g1_i1,855,NA
TRINITY_DN216421_c1_g8_i1,854,NA
TRINITY_DN198081_c1_g1_i1,854,NA
TRINITY_DN208899_c0_g3_i1,854,NA
TRINITY_DN208374_c0_g3_i3,854,NA
TRINITY_DN202760_c0_g4_i2,854,NA
TRINITY_DN181999_c0_g2_i1,854,Protein FAR1-RELATED SEQUENCE 3
TRINITY_DN197569_c0_g2_i1,853,NA
TRINITY_DN205712_c0_g2_i1,853,Phospholipase D alpha 1
TRINITY_DN270738_c0_g1_i1,852,Translation initiation factor IF-2
TRINITY_DN198344_c0_g3_i3,852,NA
TRINITY_DN149897_c0_g1_i1,851,Probable thiol:disulfide interchange protein DsbC
TRINITY_DN271897_c0_g1_i1,851,NA
TRINITY_DN183121_c0_g3_i1,850,NA
TRINITY_DN198717_c0_g1_i2,850,NA
TRINITY_DN187628_c0_g1_i1,850,Probable E3 ubiquitin-protein ligase RNF217
TRINITY_DN179902_c0_g3_i1,850,NA
TRINITY_DN190902_c7_g6_i1,850,NA
TRINITY_DN196687_c0_g1_i1,850,NA
TRINITY_DN209539_c1_g1_i1,849,Peptidyl-prolyl cis-trans isomerase CYP71
TRINITY_DN174947_c0_g1_i1,849,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TRINITY_DN183242_c0_g1_i1,849,50S ribosomal protein L16
TRINITY_DN183783_c0_g2_i1,849,NADH-quinone oxidoreductase subunit M
TRINITY_DN206164_c1_g1_i1,849,Transcription factor GTE2
TRINITY_DN193622_c0_g7_i2,849,NA
TRINITY_DN194546_c0_g1_i4,848,NA
TRINITY_DN206194_c0_g2_i1,848,NA
TRINITY_DN210743_c0_g1_i2,848,NA
TRINITY_DN191512_c4_g1_i2,847,NA
TRINITY_DN186198_c0_g1_i2,847,NA
TRINITY_DN191237_c8_g1_i1,847,NA
TRINITY_DN178099_c0_g1_i1,847,Obtusifoliol 14-alpha demethylase
TRINITY_DN204628_c0_g2_i1,846,PRA1 family protein B1
TRINITY_DN211703_c1_g2_i1,845,NA
TRINITY_DN205839_c3_g3_i1,845,NA
TRINITY_DN195365_c1_g1_i3,845,NA
TRINITY_DN205389_c0_g3_i1,845,NA
TRINITY_DN197986_c2_g2_i2,844,NA
TRINITY_DN214082_c2_g2_i1,843,Cyclic nucleotide-gated ion channel 1
TRINITY_DN198815_c1_g1_i1,843,NA
TRINITY_DN215270_c2_g2_i4,843,NA
TRINITY_DN15863_c0_g1_i1,842,NA
TRINITY_DN184430_c0_g2_i1,842,50S ribosomal protein L25
TRINITY_DN245209_c0_g1_i1,841,NA
TRINITY_DN211461_c0_g3_i2,841,NA
TRINITY_DN186162_c0_g1_i1,841,NA
TRINITY_DN90521_c0_g1_i2,841,3-hydroxyacyl-CoA dehydrogenase type-2
TRINITY_DN245741_c0_g1_i1,841,Sugar transporter SemiSWEET
TRINITY_DN170468_c0_g1_i1,841,NA
TRINITY_DN204326_c0_g4_i2,841,NA
TRINITY_DN169062_c0_g1_i1,840,NA
TRINITY_DN201929_c0_g1_i3,840,NA
TRINITY_DN206645_c0_g4_i1,840,NA
TRINITY_DN192016_c2_g2_i1,839,NA
TRINITY_DN214264_c1_g3_i4,839,Derlin-2.1
TRINITY_DN213779_c2_g1_i2,839,Tetraspanin-2
TRINITY_DN203271_c0_g3_i3,838,NA
TRINITY_DN184861_c0_g1_i1,838,NA
TRINITY_DN63811_c0_g1_i1,838,GDSL esterase/lipase EXL3
TRINITY_DN212386_c1_g1_i1,838,NA
TRINITY_DN204274_c4_g1_i1,838,NA
TRINITY_DN211515_c0_g3_i2,837,NA
TRINITY_DN217916_c2_g1_i2,837,NA
TRINITY_DN213468_c0_g2_i1,837,NA
TRINITY_DN204456_c0_g3_i1,836,"Galactan beta-1,4-galactosyltransferase GALS1"
TRINITY_DN203657_c1_g3_i1,836,NA
TRINITY_DN250589_c0_g1_i1,836,DNA-directed RNA polymerase subunit beta
TRINITY_DN202043_c2_g1_i4,835,NA
TRINITY_DN199203_c1_g1_i1,835,NA
TRINITY_DN153779_c0_g1_i1,835,Putative helicase L207/L206
TRINITY_DN193549_c0_g1_i1,834,NA
TRINITY_DN208348_c1_g2_i1,833,NA
TRINITY_DN285534_c0_g1_i1,833,NA
TRINITY_DN197447_c2_g2_i1,833,NA
TRINITY_DN199688_c0_g3_i1,833,Protein tesmin/TSO1-like CXC 2
TRINITY_DN198788_c0_g4_i1,833,NA
TRINITY_DN30839_c0_g1_i1,832,NA
TRINITY_DN185666_c0_g1_i1,832,NA
TRINITY_DN198836_c1_g1_i3,832,NA
TRINITY_DN205850_c1_g3_i1,832,NA
TRINITY_DN189953_c10_g1_i1,832,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN195318_c1_g6_i1,831,NA
TRINITY_DN185881_c0_g1_i1,831,NA
TRINITY_DN203607_c1_g6_i2,830,NA
TRINITY_DN215105_c0_g1_i1,830,Protein NRT1/ PTR FAMILY 5.10
TRINITY_DN208377_c0_g2_i1,830,NA
TRINITY_DN300468_c0_g1_i1,830,NA
TRINITY_DN216869_c3_g1_i1,830,NA
TRINITY_DN204610_c2_g1_i1,830,"AAA-ATPase ASD, mitochondrial"
TRINITY_DN193579_c1_g1_i1,830,Cyclic dof factor 2
TRINITY_DN212320_c2_g2_i4,829,Adenylate kinase 4
TRINITY_DN209795_c2_g1_i1,828,NA
TRINITY_DN198868_c2_g4_i1,828,NA
TRINITY_DN209742_c0_g1_i2,828,NA
TRINITY_DN211842_c0_g1_i1,828,NA
TRINITY_DN190841_c0_g1_i1,827,Probable receptor-like protein kinase At2g47060
TRINITY_DN266624_c0_g1_i1,827,NA
TRINITY_DN149740_c0_g1_i1,827,NA
TRINITY_DN216730_c0_g1_i4,826,NA
TRINITY_DN192689_c13_g2_i4,826,NA
TRINITY_DN212830_c0_g2_i5,826,"Maltose excess protein 1-like, chloroplastic"
TRINITY_DN201125_c0_g4_i3,826,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase
TRINITY_DN192162_c0_g1_i1,826,NA
TRINITY_DN200081_c2_g1_i1,826,U-box domain-containing protein 12
TRINITY_DN212977_c0_g2_i1,826,Calcium-dependent protein kinase 8
TRINITY_DN202045_c2_g2_i2,826,NA
TRINITY_DN204060_c0_g4_i2,825,NA
TRINITY_DN207367_c1_g2_i1,825,Alpha-N-acetylglucosaminidase
TRINITY_DN182273_c0_g1_i1,825,NA
TRINITY_DN206783_c0_g2_i2,824,NA
TRINITY_DN204351_c1_g3_i1,824,NA
TRINITY_DN205938_c0_g6_i2,824,NA
TRINITY_DN202790_c3_g2_i1,824,NA
TRINITY_DN207616_c0_g5_i1,824,NA
TRINITY_DN191281_c11_g1_i1,824,NA
TRINITY_DN212716_c1_g3_i1,823,NA
TRINITY_DN207254_c0_g1_i2,823,DEAD-box ATP-dependent RNA helicase 27
TRINITY_DN210837_c0_g1_i1,823,NA
TRINITY_DN182235_c0_g1_i2,822,NA
TRINITY_DN202156_c0_g2_i1,822,NA
TRINITY_DN216797_c0_g1_i1,821,NA
TRINITY_DN172000_c0_g2_i1,821,NA
TRINITY_DN176837_c0_g1_i1,821,NA
TRINITY_DN191470_c8_g1_i2,820,NA
TRINITY_DN169166_c0_g1_i1,820,NA
TRINITY_DN201256_c0_g1_i1,819,NA
TRINITY_DN206100_c0_g2_i3,819,Serine/threonine-protein phosphatase PP-X isozyme 2
TRINITY_DN189783_c13_g1_i2,819,NA
TRINITY_DN172734_c0_g1_i1,819,Putative disease resistance RPP13-like protein 2
TRINITY_DN214517_c3_g3_i1,818,NA
TRINITY_DN194299_c1_g1_i1,818,NA
TRINITY_DN210539_c3_g2_i1,818,NA
TRINITY_DN182189_c0_g1_i1,818,NA
TRINITY_DN201235_c2_g2_i2,818,NA
TRINITY_DN193069_c0_g3_i1,817,NA
TRINITY_DN200223_c0_g1_i1,817,50S ribosomal protein L36
TRINITY_DN213365_c0_g3_i1,817,NA
TRINITY_DN217068_c3_g1_i1,816,NA
TRINITY_DN202044_c1_g2_i1,816,Nascent polypeptide-associated complex subunit alpha-like protein
TRINITY_DN201168_c1_g1_i1,816,NA
TRINITY_DN205876_c0_g3_i2,816,NA
TRINITY_DN267188_c0_g1_i1,816,NA
TRINITY_DN209969_c0_g3_i2,815,NA
TRINITY_DN210177_c0_g2_i1,815,Nucleolar protein 14
TRINITY_DN195081_c1_g2_i1,815,NA
TRINITY_DN213080_c0_g2_i1,815,Cytochrome P450 72A15
TRINITY_DN207017_c0_g4_i1,815,NA
TRINITY_DN198659_c2_g2_i4,815,NA
TRINITY_DN197655_c1_g1_i2,814,NA
TRINITY_DN183547_c0_g1_i1,814,NA
TRINITY_DN178450_c0_g1_i1,814,NA
TRINITY_DN209145_c1_g1_i1,813,NA
TRINITY_DN215524_c1_g3_i1,813,Peroxisome biogenesis protein 5
TRINITY_DN141333_c0_g2_i1,813,TPD1 protein homolog 1A
TRINITY_DN196397_c1_g1_i1,813,Purple acid phosphatase 2
TRINITY_DN198922_c1_g3_i3,813,NA
TRINITY_DN202116_c0_g3_i1,812,NA
TRINITY_DN33970_c0_g1_i1,812,NA
TRINITY_DN199245_c0_g2_i2,811,NA
TRINITY_DN18384_c0_g1_i1,811,NA
TRINITY_DN181121_c0_g1_i1,811,NA
TRINITY_DN206444_c1_g1_i1,810,NA
TRINITY_DN208458_c1_g3_i2,810,Sucrose synthase 2
TRINITY_DN201378_c0_g2_i1,810,"Transcription termination factor MTEF1, chloroplastic"
TRINITY_DN216588_c1_g2_i1,810,DNA-directed RNA polymerase III subunit 2
TRINITY_DN187841_c0_g1_i1,810,NA
TRINITY_DN209183_c0_g3_i1,810,Protein MARD1
TRINITY_DN212415_c2_g3_i1,809,NA
TRINITY_DN204246_c0_g1_i1,808,NA
TRINITY_DN209846_c0_g5_i1,808,NA
TRINITY_DN199781_c0_g3_i1,808,"Ferredoxin-6, chloroplastic"
TRINITY_DN194323_c1_g1_i4,808,Cytochrome P450 709B2
TRINITY_DN208099_c0_g1_i1,808,NA
TRINITY_DN200824_c1_g1_i2,807,NA
TRINITY_DN184864_c0_g1_i1,807,NA
TRINITY_DN204991_c3_g2_i1,807,NA
TRINITY_DN213808_c0_g1_i1,806,NA
TRINITY_DN168492_c0_g1_i1,806,"GTP-binding nuclear protein Ran, testis-specific isoform"
TRINITY_DN181673_c0_g3_i1,806,NA
TRINITY_DN198539_c0_g1_i1,806,NA
TRINITY_DN190595_c0_g1_i2,806,NA
TRINITY_DN196455_c0_g4_i4,806,NA
TRINITY_DN216169_c1_g2_i1,806,Retrovirus-related Pol polyprotein from transposon RE2
TRINITY_DN179189_c0_g1_i1,806,NA
TRINITY_DN172385_c0_g1_i1,806,NA
TRINITY_DN187003_c0_g1_i1,806,NA
TRINITY_DN202481_c0_g2_i1,806,NA
TRINITY_DN210522_c1_g1_i1,806,NA
TRINITY_DN208623_c0_g3_i2,806,NA
TRINITY_DN172450_c0_g1_i1,805,CD63 antigen
TRINITY_DN193778_c0_g1_i1,805,NA
TRINITY_DN193786_c3_g1_i1,805,NA
TRINITY_DN201875_c1_g5_i1,805,NA
TRINITY_DN61602_c0_g1_i1,805,NA
TRINITY_DN171778_c1_g1_i1,804,Striated muscle-specific serine/threonine-protein kinase
TRINITY_DN204170_c0_g1_i1,804,NA
TRINITY_DN175034_c0_g1_i1,804,NA
TRINITY_DN210119_c0_g2_i1,804,NA
TRINITY_DN194983_c4_g1_i3,804,Dolichol-phosphate mannose synthase subunit 2
TRINITY_DN213691_c1_g2_i1,804,NA
TRINITY_DN209279_c0_g3_i1,803,Receptor-like serine/threonine-protein kinase SD1-8
TRINITY_DN211591_c1_g4_i1,803,NA
TRINITY_DN199149_c0_g4_i1,802,NA
TRINITY_DN183142_c0_g1_i1,802,NA
TRINITY_DN207297_c0_g1_i2,802,NA
TRINITY_DN200989_c0_g2_i1,802,NA
TRINITY_DN167228_c0_g1_i1,802,THO complex subunit 7 homolog
TRINITY_DN212277_c0_g1_i1,802,NA
TRINITY_DN213352_c0_g1_i1,802,NA
TRINITY_DN91972_c0_g1_i1,801,NA
TRINITY_DN202476_c2_g4_i1,801,NA
TRINITY_DN209131_c0_g1_i1,801,NA
TRINITY_DN206539_c0_g1_i1,801,Transcription factor MYB52
